index,text,created_at,retweet_count
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 23:21:08,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 22:39:21,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 22:25:32,0
,@JazzFeathers San Francisco homeless/drug problems and OCD. I have a minor case that's dealt with but wanted to see severe cases Hows ur day,2016-07-12 22:16:36,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 22:11:46,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/ph0F89aURA via @truthout,2016-07-12 22:10:19,0
,RT @breakingsfnews: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. htt…,2016-07-12 22:10:10,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 22:08:39,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 22:02:56,0
,The Key To Helping San Francisco's Homeless: Cellphones https://t.co/1jUsgLNs6v @mashable #SanFran #tech #homeless https://t.co/N77zkNWnNJ,2016-07-12 22:02:24,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 22:02:12,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 22:02:07,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-12 22:01:14,0
,A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t.co/fXK7K5k10k,2016-07-12 22:00:32,1
,A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t.co/UUVkGmSuzx,2016-07-12 22:00:31,14
,We can learn from kids and their empathy for San Francisco's homeless https://t.co/CP8nN2OGV5,2016-07-12 21:25:35,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/HNYIpRhwAZ via @truthout,2016-07-12 21:17:18,0
,From #homeless in #SanFrancisco to a job in the tech industry https://t.co/KN1b8wOWBY via @CNBC  @codetenderloin https://t.co/wsOFmkshtc,2016-07-12 21:01:36,0
,"San Francisco May Ban #Homeless Encampments and Then Bus Them Out of the City 
https://t.co/KVGuEXoLQw https://t.co/rQQnwA97kH",2016-07-12 20:52:56,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/iq4NVNK291 via @truthout,2016-07-12 20:34:00,0
,"RT @econhardship: What's it like being young, homeless, and transgender in a gentrifying San Francisco? https://t.co/6Fzvt0Qgzh https://t.c…",2016-07-12 20:20:15,0
,"RT @willmenaker: Given the huge popularity of Pokémon Go, couldn't someone develop a similar game to track and catch San Francisco's homele…",2016-07-12 20:19:58,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/25C5H4Mryt via @truthout,2016-07-12 20:18:35,0
